rank,tier,zip,state,owner,units,fhfa_a1
3332,B,75081,TX,7076,14662,1.56
3333,B,60018,IL,7076,10350,9.31
3334,B,83402,ID,7073,11983,2.9
3335,B,28613,NC,7069,10222,5.43
3336,B,37303,TN,7068,11460,3.34
3337,B,77657,TX,7067,9044,7.0
3338,B,95991,CA,7066,15234,2.97
3339,B,49444,MI,7065,11635,9.82
3340,B,78617,TX,7065,9201,25.62
3341,B,94024,CA,7063,8486,2.16
3342,B,11422,NY,7062,10694,2.62
3343,B,91302,CA,7061,10235,-9.96
3344,B,66221,KS,7060,8656,11.69
3345,B,40218,KY,7060,14697,1.71
3346,B,11714,NY,7059,7925,7.67
3347,B,14072,NY,7058,9053,6.48
3348,B,91364,CA,7054,10969,-5.18
3349,B,65101,MO,7054,11962,2.88
3350,B,31522,GA,7051,12241,7.37
3351,B,91301,CA,7051,9394,-10.21
3352,B,94545,CA,7051,10439,2.02
3353,B,11367,NY,7050,15693,5.61
3354,B,44319,OH,7050,9950,9.23
3355,B,19608,PA,7044,9169,5.86
3356,B,95949,CA,7043,8644,1.65
3357,B,48317,MI,7043,12936,1.48
3358,B,38801,MS,7042,13717,2.89
3359,B,84093,UT,7042,8005,5.18
3360,B,07080,NJ,7041,8433,8.22
3361,B,91307,CA,7038,8964,2.95
3362,B,02474,MA,7038,12541,-1.29
3363,B,11010,NY,7038,8577,3.39
3364,B,70471,LA,7031,10341,-0.26
3365,B,98665,WA,7029,11894,1.18
3366,B,77385,TX,7027,9820,1.01
3367,B,49601,MI,7027,10734,6.47
3368,B,95829,CA,7027,9412,2.67
3369,B,29611,SC,7024,14620,5.12
3370,B,35111,AL,7023,7893,1.56
3371,B,60491,IL,7022,7846,3.37
3372,B,83814,ID,7015,14314,-1.24
3373,B,07701,NJ,7015,11082,12.25
3374,B,41005,KY,7012,9463,4.41
3375,B,27560,NC,7011,17764,-8.54
3376,B,98146,WA,7011,10986,2.45
3377,B,90504,CA,7011,12328,2.76
3378,B,79416,TX,7010,16094,0.39
3379,B,76708,TX,7009,11241,-0.32
3380,B,37921,TN,7009,12969,3.38
3381,B,08721,NJ,7009,9343,7.37
3382,B,76401,TX,7006,13826,6.16
3383,B,34677,FL,7005,10056,0.29
3384,B,21001,MD,7003,11010,0.4
3385,B,30296,GA,7002,10780,-7.74
3386,B,33066,FL,7001,10418,-4.15
3387,B,89107,NV,7000,13844,-0.62
3388,B,54901,WI,7000,15381,6.77
3389,B,23703,VA,6999,10856,4.56
3390,B,89138,NV,6998,9069,15.71
3391,B,75208,TX,6994,13655,-2.56
3392,B,91356,CA,6994,12715,-1.38
3393,B,72802,AR,6994,9687,3.04
3394,B,02904,RI,6994,14483,-0.04
3395,B,40059,KY,6992,8400,9.71
3396,B,60585,IL,6992,7723,3.98
3397,B,48314,MI,6991,9286,6.21
3398,B,70706,LA,6990,8561,-1.89
3399,B,19971,DE,6989,16948,30.44
3400,B,60187,IL,6989,10619,8.4
3401,B,33782,FL,6988,10581,-1.74
3402,B,53213,WI,6987,12591,4.8
3403,B,33612,FL,6986,21228,3.41
3404,B,92703,CA,6985,14644,2.82
3405,B,50131,IA,6984,9975,3.93
3406,B,98022,WA,6982,9828,0.64
3407,B,98004,WA,6980,20977,-12.26
3408,B,97035,OR,6979,11822,0.38
3409,B,53545,WI,6975,11170,7.04
3410,B,45242,OH,6973,9587,5.25
3411,B,35801,AL,6970,11225,0.95
3412,B,44857,OH,6969,10579,4.6
3413,B,11741,NY,6969,9310,7.13
3414,B,92109,CA,6966,26503,11.61
3415,B,92373,CA,6966,14501,1.58
3416,B,11378,NY,6966,14522,6.04
3417,B,30008,GA,6965,12477,2.28
3418,B,35023,AL,6964,9879,-0.15
3419,B,08037,NJ,6963,9682,7.23
3420,B,49036,MI,6962,11663,4.12
3421,B,93637,CA,6962,12918,-0.33
3422,B,85381,AZ,6957,11393,-2.23
3423,B,42718,KY,6956,11289,-0.68
3424,B,95503,CA,6956,10738,3.5
3425,B,32796,FL,6955,9670,-3.59
3426,B,97401,OR,6952,24220,5.78
3427,B,40383,KY,6950,10431,-1.39
3428,B,29575,SC,6949,16761,8.05
3429,B,35126,AL,6947,8581,0.07
3430,B,94062,CA,6947,10496,14.79
3431,B,48182,MI,6946,8637,4.56
3432,B,98626,WA,6944,10642,5.09
3433,B,29505,SC,6943,10647,6.09
3434,B,07724,NJ,6943,10424,1.26
3435,B,23503,VA,6942,15350,1.83
3436,B,89103,NV,6939,25470,-1.32
3437,B,76012,TX,6935,11538,-0.25
3438,B,34465,FL,6934,9466,-1.84
