rank,tier,zip,state,owner,units,has_fhfa
213,A,98682,WA,16411,24288,1
214,A,27519,NC,16406,24758,1
215,A,75098,TX,16403,22080,1
216,A,85364,AZ,16356,31867,1
217,A,60016,IL,16331,25613,1
218,A,78521,TX,16312,29576,1
219,A,92503,CA,16302,25802,1
220,A,32068,FL,16291,21830,1
221,A,75056,TX,16283,28102,1
222,A,32218,FL,16269,27895,1
223,A,65203,MO,16254,27157,1
224,A,23320,VA,16234,26131,1
225,A,17601,PA,16234,23126,1
226,A,85365,AZ,16230,26353,1
227,A,39110,MS,16205,18305,1
228,A,33186,FL,16201,24397,1
229,A,43081,OH,16187,28457,1
230,A,93722,CA,16187,27615,1
231,A,96706,HI,16185,24305,1
232,A,33647,FL,16182,27960,1
233,A,63123,MO,16175,23208,1
234,A,20148,VA,16169,20413,1
235,A,32164,FL,16137,22902,1
236,A,92223,CA,16107,20579,1
237,A,19446,PA,16096,24983,1
238,A,28655,NC,16094,24542,1
239,A,20744,MD,16080,21014,1
240,A,92646,CA,16066,22195,1
241,A,55304,MN,16047,17318,1
242,A,85207,AZ,16037,22747,1
243,A,78045,TX,16031,21669,1
244,A,48103,MI,16029,25511,1
245,A,34997,FL,15996,22192,1
246,A,48439,MI,15995,22101,1
247,A,06010,CT,15994,26726,1
248,A,22554,VA,15968,20861,1
249,A,32163,FL,15957,20061,1
250,A,32828,FL,15937,25728,1
251,A,38017,TN,15928,20850,1
252,A,83642,ID,15905,22700,1
253,A,37066,TN,15903,25939,1
254,A,93536,CA,15898,24407,1
255,A,33024,FL,15896,26552,1
256,A,19335,PA,15893,20276,1
257,A,70072,LA,15888,22845,1
258,A,32765,FL,15884,23389,1
259,A,20774,MD,15881,21747,1
260,A,08701,NJ,15861,33539,1
261,A,29720,SC,15837,22106,1
262,A,29485,SC,15835,23382,1
263,A,92630,CA,15833,24390,1
264,A,46143,IN,15833,23417,1
265,A,29073,SC,15820,20239,1
266,A,07728,NJ,15812,21150,1
267,A,73160,OK,15682,25055,1
268,A,94112,CA,15681,24530,1
269,A,55124,MN,15662,21894,1
270,A,60632,IL,15658,28860,1
271,A,22192,VA,15656,21290,1
272,A,33458,FL,15636,23121,1
273,A,97045,OR,15632,21702,1
274,A,60004,IL,15629,21181,1
275,A,97702,OR,15620,23318,1
276,A,60614,IL,15614,38089,1
277,A,76227,TX,15598,20970,1
278,A,60073,IL,15584,20864,1
279,A,08757,NJ,15583,19302,1
280,A,95624,CA,15580,20740,1
281,A,29464,SC,15565,26829,1
282,A,95758,CA,15565,22755,1
283,A,28215,NC,15558,25350,1
284,A,27410,NC,15543,26279,1
285,A,45424,OH,15533,21557,1
286,A,93727,CA,15529,25919,1
287,A,19720,DE,15523,24262,1
288,A,14094,NY,15519,23283,1
289,A,34748,FL,15518,25740,1
290,A,33437,FL,15518,21809,1
291,A,94568,CA,15504,24737,1
292,A,19124,PA,15500,27014,1
293,A,63303,MO,15498,21448,1
294,A,91710,CA,15489,23911,1
295,A,60056,IL,15477,23202,1
296,A,83301,ID,15457,24466,1
297,A,98052,WA,15455,34946,1
298,A,43015,OH,15454,23287,1
299,A,29445,SC,15451,23194,1
300,A,92880,CA,15444,20743,1
301,A,30064,GA,15425,19076,1
302,A,40475,KY,15404,28118,1
303,A,89052,NV,15384,26456,1
304,A,41042,KY,15368,23640,1
305,A,37129,TN,15363,24548,1
306,A,43055,OH,15304,27046,1
307,A,96789,HI,15296,19736,1
308,A,29588,SC,15268,22223,1
309,A,33322,FL,15263,21024,1
310,A,95687,CA,15249,24283,1
311,A,19709,DE,15232,17819,1
312,A,70737,LA,15229,20720,1
313,A,87144,NM,15223,18261,1
314,A,99208,WA,15213,24273,1
315,A,45840,OH,15199,25396,1
316,A,30263,GA,15185,23792,1
317,A,78681,TX,15181,20817,1
318,A,83686,ID,15149,20283,1
319,A,92071,CA,15137,21732,1
320,A,27529,NC,15127,22089,1
321,A,30115,GA,15105,19016,1
322,A,32034,FL,15085,21768,1
323,A,98208,WA,15069,22534,1
324,A,92562,CA,15054,22362,1
325,A,19380,PA,15054,21490,1
326,A,37211,TN,15051,34650,1
327,A,29579,SC,15048,24320,1
328,A,63385,MO,15047,17997,1
329,A,55901,MN,15046,24852,1
330,A,28227,NC,15041,23179,1
331,A,60657,IL,15040,42246,1
332,A,28451,NC,15019,19672,1
333,A,85249,AZ,15010,17489,1
334,A,45601,OH,14977,23358,1
335,A,55303,MN,14973,20317,1
336,A,23454,VA,14955,24253,1
337,A,19382,PA,14955,21798,1
338,A,85345,AZ,14948,24273,1
339,A,45013,OH,14937,21734,1
340,A,79424,TX,14920,22800,1
341,A,33414,FL,14901,23111,1
342,A,77493,TX,14899,20552,1
343,A,60630,IL,14893,23393,1
344,A,23462,VA,14876,29729,1
345,A,78665,TX,14875,24678,1
346,A,20854,MD,14875,17119,1
347,A,33436,FL,14874,23744,1
348,A,27713,NC,14871,26266,1
349,A,20874,MD,14842,23081,1
350,A,60402,IL,14828,25111,1
351,A,07083,NJ,14825,20792,1
352,A,85351,AZ,14824,20414,1
353,A,32092,FL,14821,18403,1
354,A,75115,TX,14820,22054,1
355,A,77083,TX,14815,23872,1
356,A,63301,MO,14813,22687,1
357,A,43230,OH,14811,26170,1
358,A,33810,FL,14804,21836,1
359,A,33463,FL,14793,22696,1
360,A,37043,TN,14770,22221,1
361,A,20011,DC,14767,29658,1
362,A,89129,NV,14761,21941,1
363,A,33064,FL,14758,26641,1
364,A,93535,CA,14753,23917,1
365,A,60647,IL,14729,41975,1
366,A,32225,FL,14726,23289,1
367,A,80538,CO,14724,21923,1
368,A,95035,CA,14714,25851,1
369,A,34655,FL,14712,20444,1
370,A,32210,FL,14708,29198,1
371,A,70769,LA,14705,17557,1
372,A,08054,NJ,14695,19966,1
373,A,07470,NJ,14691,19396,1
374,A,84074,UT,14688,18128,1
375,A,47130,IN,14686,22602,1
376,A,78155,TX,14674,21791,1
377,A,19320,PA,14669,21199,1
378,A,43065,OH,14659,17468,1
379,A,40601,KY,14649,24224,1
380,A,29910,SC,14648,21169,1
381,A,92584,CA,14648,18480,1
382,A,60010,IL,14643,17621,1
383,A,30157,GA,14640,18804,1
384,A,60148,IL,14618,21744,1
385,A,95123,CA,14617,25023,1
386,A,43701,OH,14615,25785,1
387,A,48197,MI,14606,28649,1
388,A,01960,MA,14582,23009,1
389,A,93063,CA,14581,20220,1
390,A,80127,CO,14578,17507,1
391,A,10023,NY,14576,46272,0
392,A,30809,GA,14564,18920,1
393,A,08081,NJ,14563,18361,1
394,A,08873,NJ,14562,22142,1
395,A,44130,OH,14561,23819,1
396,A,78046,TX,14558,19601,1
397,A,95762,CA,14548,17285,1
398,A,28025,NC,14542,23759,1
399,A,11229,NY,14541,33353,1
400,A,92683,CA,14541,29075,1
401,A,78745,TX,14533,31246,1
402,A,22191,VA,14524,26127,1
403,A,15301,PA,14521,24001,1
404,A,78247,TX,14487,19904,1
405,A,85710,AZ,14483,28463,1
406,A,14075,NY,14478,20164,1
407,A,27265,NC,14477,22526,1
408,A,91331,CA,14475,23926,1
409,A,28601,NC,14475,23400,1
410,A,70301,LA,14470,20993,1
411,A,11706,NY,14458,21435,1
412,A,33433,FL,14456,23056,1
413,A,49424,MI,14445,19906,1
414,A,85374,AZ,14438,21982,1
415,A,85122,AZ,14429,24238,1
416,A,32725,FL,14429,19177,1
417,A,94536,CA,14418,26338,1
418,A,23185,VA,14416,22879,1
419,A,92509,CA,14406,20929,1
420,A,78250,TX,14387,20503,1
421,A,93312,CA,14378,19089,1
422,A,33914,FL,14368,22936,1
423,A,80525,CO,14363,25144,1
424,A,37087,TN,14362,21800,1
425,A,23452,VA,14346,23455,1
426,A,63304,MO,14346,16665,1
427,A,33908,FL,14336,32067,1
428,A,80022,CO,14331,19929,1
429,A,85255,AZ,14320,23016,1
430,A,75072,TX,14316,18618,1
431,A,59102,MT,14311,22706,1
432,A,19111,PA,14306,27518,1
433,A,75028,TX,14289,18189,1
434,A,93619,CA,14287,17019,1
435,A,60126,IL,14286,18687,1
436,A,07726,NJ,14279,16822,1
437,A,27406,NC,14276,28080,1
438,A,32907,FL,14269,17761,1
439,A,77546,TX,14266,19600,1
440,A,14450,NY,14255,19054,1
441,A,48843,MI,14255,19001,1
442,A,33418,FL,14244,21573,1
443,A,15317,PA,14235,18803,1
444,A,29730,SC,14232,26209,1
445,A,60014,IL,14228,18135,1
446,A,94587,CA,14215,21923,1
447,A,85375,AZ,14209,19340,1
448,A,08234,NJ,14197,17728,1
449,A,33157,FL,14189,23176,1
450,A,15237,PA,14189,19332,1
451,A,21222,MD,14188,24054,1
452,A,78109,TX,14183,19279,1
453,A,34609,FL,14169,18426,1
454,A,28110,NC,14168,20236,1
455,A,37174,TN,14165,19631,1
456,A,89131,NV,14165,18463,1
457,A,29486,SC,14164,19452,1
458,A,97007,OR,14157,19420,1
459,A,85205,AZ,14150,23473,1
460,A,10306,NY,14143,21299,1
461,A,29466,SC,14138,18125,1
462,A,30114,GA,14128,22259,1
463,A,87105,NM,14127,20263,1
464,A,27615,NC,14125,20681,1
465,A,78748,TX,14124,25694,1
466,A,89148,NV,14115,25232,1
467,A,48187,MI,14105,20548,1
468,A,85248,AZ,14097,20013,1
469,A,32708,FL,14089,20348,1
470,A,80123,CO,14085,19759,1
471,A,93306,CA,14081,23789,1
472,A,75217,TX,14078,25534,1
473,A,34744,FL,14072,22800,1
474,A,77521,TX,14067,25131,1
475,A,53711,WI,14066,23500,1
476,A,85254,AZ,14056,21469,1
477,A,39503,MS,14048,22533,1
478,A,21228,MD,14038,20357,1
479,A,75040,TX,14036,21629,1
480,A,43068,OH,14023,25294,1
481,A,34983,FL,14018,17799,1
482,A,14224,NY,14017,19286,1
483,A,44212,OH,14017,19101,1
484,A,29576,SC,13991,22097,1
485,A,32712,FL,13977,17601,1
486,A,33319,FL,13951,25046,1
487,A,19148,PA,13951,22944,1
488,A,95076,CA,13940,26488,1
489,A,90631,CA,13939,23390,1
490,A,11743,NY,13931,16138,1
491,A,32703,FL,13929,22033,1
492,A,19403,PA,13925,19720,1
493,A,97206,OR,13916,22348,1
494,A,29229,SC,13913,20939,1
495,A,38305,TN,13910,22950,1
496,A,98042,WA,13908,17365,1
497,A,75154,TX,13903,17170,1
498,A,80020,CO,13901,21607,1
499,A,63031,MO,13894,21159,1
500,A,37343,TN,13885,19031,1
501,A,98115,WA,13883,24966,1
502,A,08053,NJ,13877,20090,1
503,A,30506,GA,13875,18876,1
504,A,29526,SC,13874,20301,1
505,A,33578,FL,13870,25850,1
506,A,23188,VA,13834,20194,1
507,A,30518,GA,13833,19435,1
508,A,14120,NY,13821,20367,1
509,A,75007,TX,13815,21347,1
510,A,30252,GA,13808,16400,1
511,A,92154,CA,13803,23832,1
512,A,98258,WA,13802,18397,1
513,A,63368,MO,13799,17315,1
514,A,60462,IL,13782,17335,1
515,A,71913,AR,13773,25441,1
516,A,08724,NJ,13765,17799,1
517,A,96797,HI,13756,21327,1
518,A,85041,AZ,13753,19729,1
519,A,46032,IN,13751,22118,1
520,A,36695,AL,13751,21269,1
521,A,21740,MD,13750,27002,1
522,A,14150,NY,13743,20152,1
523,A,85140,AZ,13742,17349,1
524,A,92886,CA,13740,17624,1
525,A,63122,MO,13738,17763,1
526,A,84790,UT,13735,20956,1
527,A,60564,IL,13731,16166,1
528,A,94553,CA,13730,19626,1
529,A,32771,FL,13714,24062,1
530,A,33023,FL,13705,22450,1
531,A,37167,TN,13703,23694,1
532,A,35758,AL,13700,20322,1
533,A,60047,IL,13699,15877,1
534,A,96744,HI,13697,18695,1
535,A,46350,IN,13694,19576,1
536,A,32246,FL,13687,26083,1
537,A,42701,KY,13686,23565,1
538,A,97405,OR,13683,20395,1
539,A,30132,GA,13683,18016,1
540,A,28645,NC,13682,21558,1
541,A,31088,GA,13681,24167,1
542,A,30736,GA,13676,17327,1
543,A,27502,NC,13673,17607,1
544,A,60804,IL,13667,26738,1
545,A,94509,CA,13666,24048,1
546,A,01844,MA,13663,19496,1
547,A,63017,MO,13663,18726,1
548,A,89123,NV,13658,25246,1
549,A,48066,MI,13653,22116,1
550,A,78577,TX,13644,26568,1
551,A,48170,MI,13637,18184,1
552,A,67401,KS,13626,22434,1
553,A,40324,KY,13612,20570,1
554,A,77581,TX,13610,18285,1
555,A,36117,AL,13607,24181,1
556,A,46037,IN,13602,17334,1
557,A,55330,MN,13593,16796,1
558,A,23434,VA,13590,21764,1
559,A,32244,FL,13580,26250,1
560,A,78574,TX,13565,18309,1
561,A,98270,WA,13563,19840,1
562,A,37040,TN,13560,24628,1
563,A,32159,FL,13557,19670,1
564,A,46074,IN,13553,17118,1
565,A,78610,TX,13537,17271,1
566,A,19143,PA,13535,31391,1
567,A,63026,MO,13530,18051,1
568,A,46385,IN,13530,16071,1
569,A,94533,CA,13519,25539,1
570,A,87507,NM,13518,21272,1
571,A,06492,CT,13516,19603,1
572,A,85086,AZ,13507,17213,1
573,A,29803,SC,13499,17920,1
574,A,93230,CA,13489,23149,1
575,A,54956,WI,13474,20104,1
576,A,55379,MN,13472,18028,1
577,A,37421,TN,13464,23978,1
578,A,92201,CA,13454,26241,1
579,A,48188,MI,13453,16885,1
580,A,27520,NC,13449,18540,1
581,A,80550,CO,13448,17140,1
582,A,36535,AL,13446,18755,1
583,A,83854,ID,13445,20440,1
584,A,30519,GA,13445,18734,1
585,A,08816,NJ,13443,17242,1
586,A,94539,CA,13436,17669,1
587,A,30058,GA,13434,23671,1
588,A,19701,DE,13430,17368,1
589,A,73170,OK,13428,16658,1
590,A,95608,CA,13422,27312,1
591,A,48154,MI,13409,15330,1
592,A,31907,GA,13408,25710,1
593,A,78504,TX,13405,21417,1
594,A,60628,IL,13394,28736,1
595,A,60643,IL,13392,19541,1
596,A,94080,CA,13391,23364,1
597,A,60641,IL,13389,27377,1
598,A,75149,TX,13388,21058,1
599,A,33175,FL,13385,17787,1
600,A,85212,AZ,13378,16576,1
601,A,92129,CA,13360,18993,1
602,A,92024,CA,13356,21566,1
603,A,92130,CA,13354,23090,1
604,A,32738,FL,13353,16965,1
605,A,60586,IL,13352,14536,1
606,A,80126,CO,13351,16304,1
607,A,39047,MS,13350,16706,1
608,A,85204,AZ,13348,24536,1
609,A,32825,FL,13345,22360,1
610,A,91910,CA,13337,28432,1
611,A,55125,MN,13332,17682,1
612,A,43147,OH,13332,16267,1
613,A,30144,GA,13331,22843,1
614,A,52302,IA,13326,18153,1
615,A,93274,CA,13323,24493,1
616,A,37221,TN,13316,20323,1
617,A,84065,UT,13314,15734,1
618,A,48183,MI,13312,18095,1
619,A,60062,IL,13312,17892,1
620,A,92126,CA,13300,26146,1
621,A,79924,TX,13299,23009,1
622,A,92128,CA,13297,21308,1
623,A,33025,FL,13296,30260,1
624,A,22003,VA,13289,19497,1
625,A,79705,TX,13288,20021,1
626,A,74055,OK,13280,19539,1
627,A,85138,AZ,13272,18215,1
628,A,19020,PA,13271,23471,1
629,A,68516,NE,13270,19549,1
630,A,34746,FL,13269,25533,1
631,A,75043,TX,13262,23439,1
632,A,98223,WA,13262,18224,1
633,A,89436,NV,13259,18819,1
634,A,92399,CA,13255,19382,1
635,A,30253,GA,13253,22889,1
636,A,29621,SC,13240,18960,1
637,A,49341,MI,13240,15070,1
638,A,94591,CA,13227,20543,1
639,A,76131,TX,13216,18145,1
640,A,33021,FL,13211,21930,1
641,A,32526,FL,13201,18478,1
642,A,80229,CO,13200,20130,1
643,A,76137,TX,13191,24118,1
644,A,44646,OH,13190,20817,1
645,A,27603,NC,13181,24030,1
646,A,17112,PA,13177,16026,1
647,A,93257,CA,13165,25020,1
648,A,27360,NC,13165,20987,1
649,A,85209,AZ,13163,21921,1
650,A,17543,PA,13157,18762,1
651,A,27613,NC,13154,20099,1
652,A,30039,GA,13152,16463,1
653,A,91911,CA,13146,27533,1
654,A,49423,MI,13137,19019,1
655,A,77396,TX,13127,20532,1
656,A,08844,NJ,13127,16168,1
657,A,93551,CA,13115,17940,1
658,A,92056,CA,13107,20514,1
659,A,34120,FL,13107,17778,1
660,A,29687,SC,13103,18606,1
661,A,54313,WI,13100,16162,1
662,A,11756,NY,13093,14169,1
663,A,34668,FL,13092,23883,1
664,A,29707,SC,13091,15156,1
665,A,30680,GA,13090,17680,1
666,A,92376,CA,13084,22716,1
667,A,11235,NY,13081,37188,1
668,A,60089,IL,13081,16551,1
669,A,92078,CA,13072,19249,1
670,A,60440,IL,13063,17750,1
671,A,32566,FL,13061,17893,1
672,A,75189,TX,13056,15331,1
673,A,92692,CA,13055,18005,1
674,A,78108,TX,13055,16215,1
675,A,95014,CA,13051,23310,1
676,A,18974,PA,13043,17970,1
677,A,02155,MA,13038,25893,1
678,A,74014,OK,13036,15500,1
679,A,94550,CA,13035,18390,1
680,A,29223,SC,13026,24142,1
681,A,27540,NC,13025,16400,1
682,A,21117,MD,13020,26001,1
683,A,95355,CA,13020,22136,1
684,A,34952,FL,13013,21844,1
685,A,44691,OH,13013,19369,1
686,A,48706,MI,13012,18163,1
687,A,54115,WI,13003,20415,1
688,A,87123,NM,12995,20533,1
689,A,30152,GA,12991,16974,1
690,A,78633,TX,12991,14711,1
691,A,43302,OH,12989,22483,1
692,A,54915,WI,12984,18373,1
693,A,78666,TX,12980,36354,1
694,A,77044,TX,12980,18273,1
695,A,97219,OR,12972,18881,1
696,A,19702,DE,12970,22149,1
697,A,77539,TX,12969,18725,1
698,A,60103,IL,12966,14995,1
699,A,30019,GA,12957,15415,1
700,A,34698,FL,12952,22016,1
701,A,73034,OK,12948,18727,1
702,A,48038,MI,12945,21395,1
703,A,48047,MI,12944,16765,1
704,A,12065,NY,12936,19506,1
705,A,20176,VA,12936,17044,1
706,A,17050,PA,12932,17164,1
707,A,60068,IL,12929,15999,1
708,A,93313,CA,12913,17232,1
709,A,27107,NC,12912,20767,1
710,A,17055,PA,12903,18994,1
711,A,60620,IL,12902,30008,1
712,A,39564,MS,12902,18908,1
713,A,98034,WA,12893,22488,1
714,A,92057,CA,12890,19660,1
715,A,29715,SC,12890,16499,1
716,A,32724,FL,12888,18555,1
717,A,55337,MN,12874,19695,1
718,A,32824,FL,12864,20453,1
719,A,20002,DC,12858,38459,1
720,A,76542,TX,12858,21027,1
721,A,28562,NC,12857,18812,1
722,A,37918,TN,12855,20228,1
723,A,23455,VA,12854,22286,1
724,A,27616,NC,12845,24282,1
725,A,06082,CT,12844,17457,1
726,A,78628,TX,12825,17738,1
727,A,33446,FL,12815,18214,1
728,A,91344,CA,12812,18424,1
729,A,60477,IL,12800,16261,1
730,A,33573,FL,12795,17168,1
731,A,47201,IN,12789,20924,1
732,A,57106,SD,12785,21722,1
733,A,92114,CA,12783,18767,1
734,A,60625,IL,12778,33932,1
735,A,21042,MD,12778,15269,1
736,A,28117,NC,12767,21528,1
737,A,02780,MA,12764,22454,1
738,A,32955,FL,12762,19281,1
739,A,44134,OH,12756,17436,1
740,A,46140,IN,12742,18167,1
741,A,99205,WA,12729,18791,1
742,A,48178,MI,12723,14402,1
743,A,47150,IN,12722,22834,1
744,A,33177,FL,12719,17124,1
745,A,73012,OK,12715,16172,1
746,A,26554,WV,12713,19688,1
747,A,33018,FL,12712,17871,1
748,A,60639,IL,12705,28656,1
749,A,31419,GA,12705,24862,1
750,A,33165,FL,12703,17813,1
751,A,29461,SC,12695,16444,1
752,A,48430,MI,12687,16163,1
753,A,97223,OR,12686,21428,1
754,A,92882,CA,12685,20757,1
755,A,70065,LA,12671,21890,1
756,A,55369,MN,12658,16732,1
757,A,30331,GA,12648,27314,1
758,A,98092,WA,12644,17532,1
759,A,98387,WA,12642,17151,1
760,A,95124,CA,12637,18143,1
761,A,14086,NY,12631,15486,1
762,A,80602,CO,12630,13834,1
763,A,30228,GA,12626,18069,1
764,A,85234,AZ,12624,17488,1
765,A,18104,PA,12620,18686,1
766,A,60435,IL,12614,20162,1
767,A,60025,IL,12614,16815,1
768,A,91744,CA,12610,18852,1
769,A,78664,TX,12608,24259,1
770,A,08094,NJ,12608,15878,1
771,A,70003,LA,12602,17479,1
772,A,14850,NY,12600,31772,1
